Event ID,Event Name,Date,City,State,Finishers,Males,Females,Male Win,Female Win,Average Time,Time STD
41191027,Marine Corps Marathon,"October 27, 2019",Washington,DC,18512,10012,8500,2:27:43,2:44:47,5:06:45,0:53:38
41181028,Marine Corps Marathon,"October 28, 2018",Washington,DC,20699,11042,9657,2:22:50,2:40:20,4:55:29,0:53:18
41171022,Marine Corps Marathon,"October 22, 2017",Washington,DC,20122,10809,9313,2:25:14,2:45:07,5:03:14,0:55:14
41161030,Marine Corps Marathon,"October 30, 2016",Washington,DC,19724,10635,9089,2:23:53,2:51:48,5:03:33,0:57:25
41151025,Marine Corps Marathon,"October 25, 2015",Washington,DC,23197,12769,10428,2:24:25,2:45:56,4:54:41,0:53:45
41141026,Marine Corps Marathon,"October 26, 2014",Washington,DC,19661,11083,8578,2:22:12,2:51:47,4:52:16,0:53:03
41131027,Marine Corps Marathon,"October 27, 2013",Washington,DC,23513,13533,9980,2:21:31,2:42:15,4:44:15,0:51:42
41121028,Marine Corps Marathon,"October 28, 2012",Washington,DC,23519,13524,9995,2:20:20,2:42:03,4:46:05,0:49:43
41111030,Marine Corps Marathon,"October 30, 2011",Washington,DC,20895,12365,8530,2:19:16,2:45:28,4:43:23,0:50:40
41101031,Marine Corps Marathon,"October 31, 2010",Washington,DC,21874,13207,8667,2:23:30,2:39:19,4:44:50,0:51:18
41091025,Marine Corps Marathon,"October 25, 2009",Washington,DC,20882,12606,8276,2:21:47,2:49:48,4:41:28,0:50:20
41081026,Marine Corps Marathon,"October 26, 2008",Washington,DC,18219,11083,7136,2:22:44,2:48:55,4:40:44,0:49:15
41071028,Marine Corps Marathon,"October 28, 2007",Washington,DC,20622,12571,8051,2:22:20,2:51:14,4:41:12,0:51:00
41061029,Marine Corps Marathon,"October 29, 2006",Washington,DC,20879,12782,8097,2:21:21,3:00:23,4:43:42,0:49:36
41051030,Marine Corps Marathon,"October 30, 2005",Washington,DC,19110,11293,7817,2:22:18,2:47:10,4:50:24,0:52:51
41041031,Marine Corps Marathon,"October 31, 2004",Washington,DC,16379,9686,6693,2:25:35,2:48:31,4:57:19,0:51:12
41031026,Marine Corps Marathon,"October 26, 2003",Washington,DC,15957,9752,6205,2:25:07,2:37:59,4:48:53,0:48:32
41021027,Marine Corps Marathon,"October 27, 2002",Washington,DC,14086,8649,5437,2:25:01,2:57:27,4:41:34,0:48:35
41011028,Marine Corps Marathon,"October 28, 2001",Washington,DC,14241,8485,5756,2:28:28,2:48:13,4:38:53,0:48:41
41001022,Marine Corps Marathon,"October 22, 2000",Washington,DC,17007,10375,6632,2:25:50,2:47:52,4:44:46,0:50:29
21190505,Vancouver International Marathon,"May 5, 2019",Vancouver,BC,4235,2714,1521,2:15:01,2:41:28,4:26:37,0:48:48
21180506,Vancouver International Marathon,"May 6, 2018",Vancouver,BC,3753,2357,1396,2:27:38,2:43:50,4:33:31,0:50:04
21170507,Vancouver International Marathon,"May 7, 2017",Vancouver,BC,3576,2186,1390,2:19:09,2:39:37,4:23:35,0:47:36
21160501,Vancouver International Marathon,"May 1, 2016",Vancouver,BC,3773,2272,1501,2:21:04,2:39:52,4:28:38,0:48:41
21150503,Vancouver International Marathon,"May 3, 2015",Vancouver,BC,3575,2128,1447,2:18:37,2:37:37,4:24:32,0:49:12
21140504,Vancouver International Marathon,"May 4, 2014",Vancouver,BC,3779,2154,1625,2:21:08,2:36:59,4:18:24,0:45:09
21130505,Vancouver International Marathon,"May 5, 2013",Vancouver,BC,3881,2168,1713,2:24:08,2:40:33,4:25:19,0:47:39
21120506,Vancouver International Marathon,"May 6, 2012",Vancouver,BC,4232,2396,1836,2:21:50,2:42:15,4:22:00,0:47:57
