Event ID,Event Name,Date,City,State,Finishers,Males,Females,Male Win,Female Win,Average Time,Time STD,D0 Place,D1 Place,D2 Place,D3 Place,D4 Place,D5 Place,D6 Place,D7 Place,D8 Place,D9 Place,D10 Place,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10
67211010,Chicago Marathon,"October 10, 2021",Chicago,IL,26112,14228,11884,2:06:12,2:22:31,4:42:32,0:58:46,1,2612,5223,7834,10445,13056,15667,18278,20889,23500,26112,2:06:12,3:28:12,3:50:23,4:07:02,4:23:22,4:38:48,4:54:17,5:13:02,5:34:30,6:04:52,8:23:10
67191013,Chicago Marathon,"October 13, 2019",Chicago,IL,45956,24626,21330,2:05:45,2:14:04,4:29:51,1:00:21,1,4596,9192,13787,18383,22978,27574,32169,36765,41360,45956,2:05:45,3:18:17,3:37:37,3:52:45,4:06:30,4:22:11,4:38:38,4:56:39,5:20:59,5:53:55,8:49:35
67181007,Chicago Marathon,"October 7, 2018",Chicago,IL,44584,23934,20650,2:05:11,2:18:35,4:34:01,0:59:00,1,4459,8917,13375,17834,22292,26750,31209,35667,40125,44584,2:05:11,3:24:03,3:42:50,3:57:26,4:12:19,4:27:31,4:43:14,4:59:45,5:22:35,5:54:40,8:53:50
67171008,Chicago Marathon,"October 8, 2017",Chicago,IL,44508,22906,21602,2:09:20,2:18:31,4:47:23,1:01:29,1,4451,8902,13353,17803,22254,26705,31155,35606,40057,44508,2:09:20,3:31:15,3:52:57,4:09:20,4:26:22,4:42:48,4:58:37,5:17:44,5:40:23,6:11:27,9:46:59
67161009,Chicago Marathon,"October 9, 2016",Chicago,IL,40608,22045,18563,2:11:23,2:21:32,4:34:48,0:56:54,1,4061,8122,12183,16243,20304,24365,28425,32486,36547,40608,2:11:23,3:27:07,3:45:26,3:59:04,4:14:01,4:28:31,4:44:06,5:00:05,5:22:54,5:52:39,9:11:28
67151011,Chicago Marathon,"October 11, 2015",Chicago,IL,37182,20144,17038,2:09:25,2:23:33,4:33:14,0:52:37,1,3719,7437,11155,14873,18591,22309,26027,29745,33463,37182,2:09:25,3:27:21,3:46:12,4:00:01,4:15:36,4:30:00,4:44:59,5:00:09,5:20:40,5:47:18,7:29:33
67141012,Chicago Marathon,"October 12, 2014",Chicago,IL,40801,22299,18502,2:04:11,2:24:35,4:33:03,0:55:14,1,4081,8161,12241,16321,20401,24481,28561,32641,36721,40801,2:04:11,3:26:38,3:45:17,3:58:57,4:13:21,4:27:25,4:42:08,4:58:13,5:19:32,5:50:08,8:23:39
67131013,Chicago Marathon,"October 13, 2013",Chicago,IL,39122,21618,17504,2:03:45,2:19:57,4:32:23,0:52:43,1,3913,7825,11737,15649,19561,23473,27385,31297,35209,39122,2:03:45,3:28:33,3:46:56,3:59:19,4:13:43,4:27:22,4:41:25,4:57:08,5:17:48,5:46:10,7:42:53
67121007,Chicago Marathon,"October 7, 2012",Chicago,IL,37455,20688,16767,2:04:38,2:22:03,4:32:02,0:53:30,1,3746,7491,11237,14982,18728,22473,26218,29964,33709,37455,2:04:38,3:28:05,3:45:49,3:58:36,4:13:40,4:27:20,4:40:56,4:56:04,5:16:08,5:45:46,7:57:21
67111009,Chicago Marathon,"October 9, 2011",Chicago,IL,35670,20256,15414,2:05:37,2:18:20,4:40:34,0:53:25,1,3567,7134,10701,14268,17835,21402,24969,28536,32103,35670,2:05:37,3:33:56,3:53:33,4:09:21,4:24:12,4:37:41,4:51:33,5:06:55,5:27:04,5:53:22,7:31:11
67101010,Chicago Marathon,"October 10, 2010",Chicago,IL,36159,19973,16186,2:06:24,2:20:25,4:43:48,0:55:00,1,3616,7232,10848,14464,18080,21695,25311,28927,32543,36159,2:06:24,3:34:57,3:55:33,4:11:54,4:26:38,4:40:31,4:55:09,5:11:10,5:32:04,5:58:41,7:48:54
