Event ID,Event Name,Date,City,State,Finishers,Males,Females,Male Win,Female Win,Average Time,Time STD
9220320,City of Los Angeles Marathon (L.A. Marathon),"May 24, 2022",Los Angeles,CA,12064,7289,4775,2:09:08,2:25:04,5:18:08,1:17:34
9211107,City of Los Angeles Marathon (L.A. Marathon),"May 31, 2022",Los Angeles,CA,8643,5586,3057,2:12:48,2:33:17,5:09:47,1:10:46
9200308,City of Los Angeles Marathon (L.A. Marathon),"May 28, 2022",Los Angeles,CA,21626,12732,8894,2:08:26,2:29:28,5:18:54,1:10:49
9190324,City of Los Angeles Marathon (L.A. Marathon),"May 31, 2022",Los Angeles,CA,20040,11794,8246,2:11:46,2:24:12,5:22:10,1:12:20
9180318,City of Los Angeles Marathon (L.A. Marathon),"Jun 1, 2022",Los Angeles,CA,19571,11248,8323,2:11:47,2:33:49,5:06:39,1:12:29
9170319,City of Los Angeles Marathon (L.A. Marathon),"Jun 1, 2022",Los Angeles,CA,18892,10930,7962,2:11:52,2:31:36,5:32:08,1:12:17
9160214,City of Los Angeles Marathon (L.A. Marathon),"May 26, 2022",Los Angeles,CA,20619,11497,9122,2:13:06,2:30:40,5:20:35,1:10:54
9150315,City of Los Angeles Marathon (L.A. Marathon),"Jun 1, 2022",Los Angeles,CA,21904,12532,9372,2:10:35,2:34:10,5:30:45,1:13:09
9140309,City of Los Angeles Marathon (L.A. Marathon),"May 31, 2022",Los Angeles,CA,21481,12358,9123,2:10:37,2:27:37,5:26:10,1:12:48
9130317,City of Los Angeles Marathon (L.A. Marathon),"May 27, 2022",Los Angeles,CA,19545,11768,7777,2:09:44,2:26:08,5:11:34,1:08:41
9120318,City of Los Angeles Marathon (L.A. Marathon),"May 26, 2022",Los Angeles,CA,18729,11381,7348,2:12:12,2:25:39,5:15:13,1:11:55
9110320,City of Los Angeles Marathon (L.A. Marathon),"May 31, 2022",Los Angeles,CA,19626,11896,7730,2:06:35,2:26:34,5:16:52,1:14:14
9100321,City of Los Angeles Marathon (L.A. Marathon),"May 25, 2022",Los Angeles,CA,22403,13238,9165,2:09:19,2:25:38,5:23:07,1:09:46
9090525,City of Los Angeles Marathon (L.A. Marathon),"May 28, 2022",Los Angeles,CA,14061,8922,5139,2:08:24,2:25:59,5:31:03,1:15:46
9080302,City of Los Angeles Marathon (L.A. Marathon),"May 22, 2022",Los Angeles,CA,16941,10436,6505,2:13:50,2:29:09,5:36:12,1:16:11
9070304,City of Los Angeles Marathon (L.A. Marathon),"May 28, 2022",Los Angeles,CA,20016,12207,7809,2:17:14,2:37:54,5:42:40,1:16:52
9060319,City of Los Angeles Marathon (L.A. Marathon),"May 28, 2022",Los Angeles,CA,20169,12367,7802,2:08:40,2:25:10,5:32:09,1:18:41
9050306,City of Los Angeles Marathon (L.A. Marathon),"May 28, 2022",Los Angeles,CA,19985,12409,7576,2:09:35,2:26:11,5:32:26,1:14:46
9040307,City of Los Angeles Marathon (L.A. Marathon),"May 23, 2022",Los Angeles,CA,17306,10920,6386,2:13:41,2:30:17,5:46:12,1:15:18
9030302,City of Los Angeles Marathon (L.A. Marathon),"May 29, 2022",Los Angeles,CA,16788,10464,6324,2:09:52,2:29:40,5:26:50,1:15:07
9020303,City of Los Angeles Marathon (L.A. Marathon),"May 24, 2022",Los Angeles,CA,18549,11516,7033,2:10:27,2:28:49,5:32:51,1:19:34
9010304,City of Los Angeles Marathon (L.A. Marathon),"May 26, 2022",Los Angeles,CA,15948,10086,5862,2:13:13,2:36:58,5:22:14,1:14:33
9000305,L.A. Marathon,"May 31, 2022",Los Angeles,CA,14410,8121,6289,2:11:55,2:33:33,5:32:10,1:23:47
