Event ID,Event Name,Date,City,State,Finishers,Males,Females,Male Win,Female Win,Average Time,Time STD
41191027,Marine Corps Marathon,"May 26, 2022",Washington,DC,18512,10012,8500,2:27:43,2:44:47,5:06:45,0:53:38
41181028,Marine Corps Marathon,"May 31, 2022",Washington,DC,20699,11042,9657,2:22:50,2:40:20,4:55:29,0:53:18
41171022,Marine Corps Marathon,"May 27, 2022",Washington,DC,20122,10809,9313,2:25:14,2:45:07,5:03:14,0:55:14
41161030,Marine Corps Marathon,"May 26, 2022",Washington,DC,19724,10635,9089,2:23:53,2:51:48,5:03:33,0:57:25
41151025,Marine Corps Marathon,"May 26, 2022",Washington,DC,23197,12769,10428,2:24:25,2:45:56,4:54:41,0:53:45
41141026,Marine Corps Marathon,"May 29, 2022",Washington,DC,19661,11083,8578,2:22:12,2:51:47,4:52:16,0:53:03
41131027,,,,,,,,,,,
41121028,Marine Corps Marathon,"May 26, 2022",Washington,DC,23519,13524,9995,2:20:20,2:42:03,4:46:05,0:49:43
41111030,,,,,,,,,,,
41101031,,,,,,,,,,,
41091025,,,,,,,,,,,
41081026,,,,,,,,,,,
41071028,,,,,,,,,,,
41061029,,,,,,,,,,,
41051030,,,,,,,,,,,
41041031,,,,,,,,,,,
41031026,,,,,,,,,,,
41021027,,,,,,,,,,,
41011028,,,,,,,,,,,
41001022,,,,,,,,,,,
