Event ID,Event Name,Date,City,State,Finishers,Males,Females,Male Win,Female Win,Average Time,Time STD,D0 Place,D1 Place,D2 Place,D3 Place,D4 Place,D5 Place,D6 Place,D7 Place,D8 Place,D9 Place,D10 Place,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10
472211107,New York City Marathon,"November 7, 2021",New York City,NY,24939,13576,11348,2:08:22,2:22:39,4:39:24,1:02:38,1,2494,4988,7482,9976,12470,14963,17457,19951,22445,24939,2:08:22,3:28:21,3:47:48,4:00:35,4:16:11,4:30:19,4:45:44,5:02:58,5:28:40,6:03:21,10:49:22
472191103,New York City Marathon,"November 3, 2019",New York City,NY,53508,30794,22714,2:08:13,2:22:38,4:36:04,0:59:21,1,5351,10702,16053,21403,26754,32105,37455,42806,48157,53508,2:08:13,3:26:48,3:47:11,4:00:33,4:15:25,4:29:11,4:43:45,4:59:20,5:22:02,5:54:34,13:17:37
472181104,New York City Marathon,"November 4, 2018",New York City,NY,52704,30592,22112,2:05:59,2:22:48,4:38:24,0:58:03,1,5271,10541,15811,21082,26352,31622,36893,42163,47433,52704,2:05:59,3:29:41,3:49:54,4:04:05,4:18:39,4:32:02,4:46:22,5:01:51,5:23:51,5:55:29,10:39:58
472171105,New York City Marathon,"November 5, 2017",New York City,NY,50643,29583,21060,2:10:53,2:26:53,4:37:03,0:56:32,1,5065,10129,15193,20257,25322,30386,35450,40514,45578,50643,2:10:53,3:31:04,3:50:27,4:03:19,4:17:35,4:30:28,4:44:34,4:59:28,5:20:20,5:52:16,10:44:26
472161106,New York City Marathon,"November 6, 2016",New York City,NY,48468,29830,18638,2:07:51,2:24:26,4:36:30,0:54:27,1,4847,9694,14541,19387,24234,29081,33927,38774,43621,48468,2:07:51,3:32:11,3:51:49,4:04:54,4:18:11,4:30:16,4:44:15,4:58:25,5:18:31,5:48:06,
472151101,New York City Marathon,"November 1, 2015",New York City,NY,49828,28804,21024,2:10:34,2:24:25,4:39:10,0:54:29,1,4983,9966,14949,19931,24914,29897,34879,39862,44845,49828,2:10:34,3:34:46,3:53:39,4:07:35,4:20:51,4:33:35,4:46:51,5:01:15,5:21:59,5:51:37,10:21:52
472141102,New York City Marathon,"November 2, 2014",New York City,NY,50433,30035,20398,2:10:59,2:25:07,4:34:48,0:53:23,1,5044,10087,15130,20173,25217,30260,35303,40346,45389,50433,2:10:59,3:33:18,3:50:49,4:02:29,4:15:29,4:27:53,4:41:04,4:56:01,5:15:46,5:47:32,9:58:28
472131103,New York City Marathon,"November 3, 2013",New York City,NY,50062,30536,19526,2:08:24,2:25:07,4:28:59,0:51:11,1,5007,10013,15019,20025,25031,30037,35043,40049,45055,50062,2:08:24,3:30:37,3:47:16,3:58:35,4:10:16,4:22:16,4:34:43,4:48:49,,5:36:57,9:27:03
472111106,New York City Marathon,"November 6, 2011",New York City,NY,46536,29669,16867,2:05:05,2:23:15,4:28:12,0:52:30,1,4654,9308,13961,18615,23268,27922,32575,37229,41882,46536,2:05:05,3:26:52,3:44:38,3:57:33,4:10:09,4:22:39,4:35:24,4:50:45,5:08:28,5:36:19,9:31:43
472101107,New York City Marathon,"November 7, 2010",New York City,NY,44704,28661,16043,2:08:14,2:28:20,4:28:00,0:52:31,1,4471,8941,13411,17882,22352,26822,31293,35763,40233,44704,2:08:14,3:28:09,3:44:58,3:57:23,4:09:12,4:21:26,4:33:37,4:48:25,5:06:50,5:37:15,9:46:40
472091101,New York City Marathon,"November 1, 2009",New York City,NY,43250,28178,15072,2:09:15,2:28:52,4:24:42,0:50:44,1,4325,8650,12975,17300,21625,25950,30275,34600,38925,43250,2:09:15,3:26:31,3:43:07,3:55:31,4:06:42,4:19:01,4:30:48,4:44:49,5:00:59,5:31:47,8:59:19
472081102,New York City Marathon,"November 2, 2008",New York City,NY,37790,24991,12799,2:08:43,2:23:56,4:25:32,0:52:17,1,3779,7558,11337,15116,18895,22674,26453,30232,34011,37790,2:08:43,3:26:07,3:43:03,3:55:36,4:06:57,4:19:25,4:31:46,4:45:50,5:02:28,5:33:53,10:22:47
472071104,New York City Marathon,"November 4, 2007",New York City,NY,38557,26042,12515,2:09:04,2:23:09,4:29:03,0:51:19,1,3856,7712,11567,15423,19279,23134,26990,30845,34701,38557,2:09:04,3:28:52,3:47:07,3:59:25,4:12:16,4:24:03,4:36:20,4:49:44,5:06:24,5:35:00,9:33:12
472061105,New York City Marathon,"November 5, 2006",New York City,NY,37936,25607,12329,2:09:57,2:25:04,4:27:24,0:51:29,1,3794,7588,11381,15175,18968,22762,26555,30349,34142,37936,2:09:57,3:28:02,3:45:49,3:57:50,4:09:59,4:22:16,4:34:21,4:47:38,5:04:10,5:32:57,8:22:34
472051106,New York City Marathon,"November 6, 2005",New York City,NY,36872,24812,12060,2:09:30,2:24:41,4:37:37,0:51:57,1,3688,7375,11062,14749,18436,22123,25810,29497,33184,36872,,3:36:17,3:56:25,4:08:40,,4:35:46,4:49:52,5:03:35,5:22:01,5:47:50,8:25:28
472041107,New York City Marathon,"November 7, 2004",New York City,NY,36513,24563,11950,2:09:28,2:23:10,4:37:21,0:50:30,1,3652,7303,10954,14605,18257,21908,25559,29210,32861,36513,,3:37:59,3:50:46,4:12:59,4:20:35,4:38:36,4:47:36,5:05:06,5:10:40,5:44:23,9:59:37
472031102,New York City Marathon,"November 2, 2003",New York City,NY,34729,23014,11715,2:10:30,2:22:31,4:36:39,0:50:33,1,3473,6946,10419,13892,17365,20837,24310,27783,31256,34729,,3:37:48,3:55:34,4:08:37,4:19:34,4:36:05,4:35:21,4:53:23,5:12:12,5:33:28,9:43:08
472021103,New York City Marathon,"November 3, 2002",New York City,NY,31824,21634,10190,2:08:07,2:25:56,4:28:37,0:50:56,1,3183,6365,9547,12730,15912,19094,22277,25459,28641,31824,,3:31:18,3:46:03,4:01:14,4:12:30,4:22:18,4:31:53,4:47:17,5:09:08,5:31:09,9:49:44
472011104,New York City Marathon,"November 4, 2001",New York City,NY,23648,16810,6838,2:07:44,2:24:21,4:26:21,0:50:20,1,2365,4730,7095,9459,11824,14189,16553,18918,21283,23648,2:07:43,3:27:38,3:45:15,3:58:20,4:10:14,,4:32:57,4:46:42,5:05:10,5:33:50,8:49:23
472001105,New York City Marathon,"November 5, 2000",New York City,NY,29327,21015,8312,2:10:09,2:25:45,4:24:38,0:52:11,1,2933,5866,8798,11731,14664,17596,20529,23461,26394,29327,2:10:09,3:26:52,3:43:06,3:56:26,4:06:40,4:20:16,4:27:41,4:43:04,4:58:13,5:25:20,9:59:52
