Date,City,State,STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,TEMP,MAX,MIN,PRCP,DEWP,WDSP,SLP,STP,VISIB,RELHUM
2000-04-17,Boston,MA,72509014739,2000-04-17,42.3606,-71.0097,3.7,44.3,48.9,39.2,0.02,33.0,10.2,1022.4,999.9,9.9,64.28796118963292
2001-04-16,Boston,MA,72509014739,2001-04-16,42.3606,-71.0097,3.7,43.3,60.1,37.9,0.0,35.9,8.2,1007.4,999.9,9.9,74.97177916043597
2002-04-15,Boston,MA,72509014739,2002-04-15,42.3606,-71.0097,3.7,51.2,57.0,46.4,0.09,49.2,8.3,1015.9,999.9,4.2,92.84220398332647
2003-04-21,Boston,MA,72509014739,2003-04-21,42.3606,-71.0097,3.7,45.7,54.0,36.0,0.0,37.0,7.7,1018.9,999.9,9.9,71.46057283951505
2004-04-19,Boston,MA,72509014739,2004-04-19,42.3606,-71.0097,3.7,61.1,86.0,44.1,0.0,44.4,11.4,1018.4,999.9,8.8,54.1472615169035
2005-04-18,Boston,MA,72509014739,2005-04-18,42.3606,-71.0097,3.7,59.4,66.0,55.9,0.0,28.9,8.2,1016.8,15.8,10.0,31.204140638945432
2006-04-17,Boston,MA,72509014739,2006-04-17,42.3606,-71.0097,3.7,47.8,59.0,43.0,0.0,34.2,9.5,1007.5,6.6,10.0,59.08604195646351
2007-04-16,Boston,MA,72509014739,2007-04-16,42.3606,-71.0097,3.7,45.1,48.0,39.0,2.24,42.2,23.3,989.7,987.5,4.8,89.5068988890369
2008-04-21,Boston,MA,72509014739,2008-04-21,42.3606,-71.0097,3.7,47.8,55.0,44.1,0.0,42.5,6.8,1027.7,26.7,10.0,81.77043390790368
2009-04-20,Boston,MA,72509014739,2009-04-20,42.3606,-71.0097,3.7,43.6,51.1,37.9,0.04,37.5,8.7,1024.5,23.5,9.7,78.94349579627148
2010-04-19,Boston,MA,72509014739,2010-04-19,42.3606,-71.0097,3.7,49.0,61.0,39.9,0.08,34.8,9.9,1010.6,9.6,10.0,57.857231209310875
2011-04-18,Boston,MA,72509014739,2011-04-18,42.3606,-71.0097,3.7,52.4,63.0,44.1,0.01,27.7,14.0,1010.6,9.7,10.0,38.28077018633621
2012-04-16,Boston,MA,72509014739,2012-04-16,42.3606,-71.0097,3.7,70.9,87.1,54.0,0.0,54.8,7.6,1014.4,13.4,10.0,56.769731035770846
2013-04-15,Boston,MA,72509014739,2013-04-15,42.3606,-71.0097,3.7,44.9,55.0,37.9,0.0,30.5,9.2,1026.0,25.0,10.0,56.80913567286752
2014-04-21,Boston,MA,72509014739,2014-04-21,42.3606,-71.0097,3.7,48.7,69.1,36.0,0.0,31.3,7.3,1022.1,21.2,10.0,50.84837801738451
2015-04-20,Boston,MA,72509014739,2015-04-20,42.3606,-71.0097,3.7,43.1,50.0,41.0,0.0,38.9,10.5,1021.4,19.7,8.0,85.00490163214927
2016-04-18,Boston,MA,72509014739,2016-04-18,42.3606,-71.0097,3.7,51.5,66.9,39.0,0.0,33.4,7.6,1023.1,22.1,10.0,49.86385371526945
2017-04-17,Boston,MA,72509014739,2017-04-17,42.3606,-71.0097,3.7,69.7,86.0,57.0,0.0,47.1,12.8,1008.8,7.8,10.0,44.47217538684025
2018-04-16,Boston,MA,72509014739,2018-04-16,42.3606,-71.0097,3.7,39.5,53.1,33.1,0.15,38.2,20.7,1023.3,19.2,3.0,95.04949406164071
2019-04-15,Boston,MA,72509014739,2019-04-15,42.3606,-71.0097,3.7,55.9,70.0,48.0,0.61,50.1,9.6,995.7,995.0,6.2,80.83464980364904
2021-10-11,Boston,MA,72509014739,2021-10-11,42.36057,-71.00975,3.2,64.4,69.1,61.0,0.0,58.4,8.7,1021.0,20.0,10.0,80.87604206816555
2022-04-18,Boston,MA,72509014739,2022-04-18,42.36057,-71.00975,3.2,45.0,50.0,39.0,0.0,27.1,10.6,1026.2,25.2,10.0,49.24895624572843
2000-04-30,Carmel,CA,72491599999,2000-04-30,36.583,-121.833,80.0,53.6,63.0,42.1,0.0,45.7,5.4,1022.0,999.9,10.0,74.5207765815733
2001-04-29,Carmel,CA,72491599999,2001-04-29,36.583,-121.833,80.0,52.8,60.8,46.4,0.0,44.8,5.8,1021.2,999.9,10.0,74.16104997272342
2002-04-28,Carmel,CA,72491599999,2002-04-28,36.583,-121.833,80.0,49.8,60.1,41.0,0.08,41.1,5.9,1021.1,999.9,10.0,71.89661933033477
2003-04-27,Carmel,CA,72491599999,2003-04-27,36.583,-121.833,80.0,54.2,63.0,44.1,0.0,41.1,7.1,1016.9,999.9,10.0,61.137047551969616
